fecha,anio,mes,mes_nombre,mes_orden,dia_semana,hora,hora_num,franja_horaria,area,direccion_hecho,barrio_hecho,clase_de_accidente,gravedad_del_accidente,clase_de_vehiculo,clase_de_servicio,controles_de_transito,coordenada_geografica
2023-02-04,2023,2,Febrero,2,Sábado,23:00:00,23.0,Noche,URBANA,TRANSVERSAL 12 CALLE 26C3,COMUNA 6,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.189423 4.100123)
2023-02-05,2023,2,Febrero,2,Domingo,03:10:00,3.0,Madrugada,URBANA,CALLE 25 CARERRA 10,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.207205 4.092464)
2023-02-05,2023,2,Febrero,2,Domingo,07:00:00,7.0,Mañana,URBANA,CARRERA 40 FRENTE CENTRO COMERCIAL TULUA,COMUNA 2,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.190448 4.073346)
2023-02-05,2023,2,Febrero,2,Domingo,12:45:00,12.0,Tarde,URBANA,CARRERA 9 CALLE 24,EL PORVENIR,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,NINGUNO,POINT (-76.207522 4.093477)
2023-02-05,2023,2,Febrero,2,Domingo,13:20:00,13.0,Tarde,RURAL,VIA TULUA LA MARINA +KM9,LA ROCHELA,CHOQUE,CON MUERTO,MOTOCICLETA,PARTICULAR,,POINT (-76.140337 4.076701)
2023-02-06,2023,2,Febrero,2,Lunes,09:30:00,9.0,Mañana,RURAL,CARERRA 23 CALLE 31,SAJONIA,CHOQUE,SOLO DA„OS,AUTOMOVIL,PUBLICO,,POINT (-76.200138 4.080899)
2023-02-06,2023,2,Febrero,2,Lunes,15:00:00,15.0,Tarde,URBANA,CARRERA 34 CALLE 24,COMUNA 2,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.190419 4.085609)
2023-02-06,2023,2,Febrero,2,Lunes,14:30:00,14.0,Tarde,URBANA,CARRERA 40 CALLE 28,,CHOQUE,SOLO DA„OS,MOTOCICLETA,PARTICULAR,,POINT (-76.186686 4.081484)
2023-02-07,2023,2,Febrero,2,Martes,09:46:00,9.0,Mañana,URBANA,CALLE 25 CARRERA 32A,CESPEDES,ATROPELLO,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.192284 4.085102)
2023-02-09,2023,2,Febrero,2,Jueves,22:15:00,22.0,Noche,URBANA,CARRERA 27 CALLE 29,CENTRO,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.196617 4.082316)
